ARGs types	C7		LP7		HP7			C15		LP15		HP15			C25		LP25		HP25			C40		LP40		HP40	
Aminoglycosides 	0.000460000 		0.000471000 		0.000710000 			0.000436000 		0.000532000 		0.000714000 			0.000897000 		0.000133000 		0.004080000 			0.000048900 		0.001190000 		0.001330000 	
Beta_Lactamas	0.000006690 		0.000000000 		0.000041400 			0.000020100 		0.000000000 		0.000006110 			0.000000000 		0.000000000 		0.000070200 			0.000000000 		0.000329000 		0.000004930 	
FCA	0.000035000 		0.000107000 		0.000176000 			0.000058600 		0.000047600 		0.000087500 			0.000020000 		0.000009470 		0.000376000 			0.000026500 		0.000013300 		0.000406000 	
MLSB	0.000056400 		0.000152000 		0.000232000 			0.000146000 		0.000063800 		0.000033600 			0.000022800 		0.000000000 		0.000221000 			0.000000000 		0.000000000 		0.000514000 	
Multidrug 	0.000945000 		0.000873000 		0.002380000 			0.000832000 		0.005710000 		0.002910000 			0.000938000 		0.000404000 		0.000721000 			0.001070000 		0.000757000 		0.000079100 	
Sulfonamides	0.000027800 		0.000163000 		0.000078200 			0.000000000 		0.002080000 		0.000103000 			0.000083300 		0.000012200 		0.000129000 			0.000000000 		0.000047200 		0.000019400 	
Tetracyclines	0.000000000 		0.000048000 		0.000099200 			0.000000000 		0.000123000 		0.000019000 			0.000000000 		0.000000000 		0.000061900 			0.000000000 		0.000014100 		0.000021200 	
Vancomycin	0.000000000 		0.000000000 		0.000000000 			0.000000000 		0.000000000 		0.000000000 			0.000000000 		0.000000000 		0.000000000 			0.000000000 		0.000007550 		0.000010600 	
MGEs		0.001404700 		0.000011466 		0.000080136 			0.000478343 		0.000338858 		0.000338398 			0.002831382 		0.000065510 		0.001564333 			0.000904374 		0.000032366 		0.000047697 
Total	7.453221104		8.099483632		8.069715993			7.538870271		8.452032615		7.944535568			7.52692895		7.021423074		8.217734438			7.229212452		7.794739001		7.77036	
16S rRNA	10.26464821		10.8409671		10.49981802			10.36501712		10.51989829		10.35679612			10.23437886		10.27401962		10.46466867			10.17169883		10.42165449		10.39321649	
