"","CCA1","CCA2"
"aac(6')-Ib(aka aacA4)-01",-0.00295561550958879,0.348313955494281
"aac(6')-Ib(aka aacA4)-02",0.194314548781655,0.105610635874399
"aac(6')-Ib(aka aacA4)-03",0.529831625838387,-0.246413321584527
"aac(6')-II",-1.72268379422587,-0.686276174126415
"aadA1",0.26559931162833,0.152031988518406
"aadA2-01",-0.244091430086785,1.02020564522658
"aadA2-02",0.420683081667895,-0.445634943133882
"aadA2-03",0.400197689341688,-0.220744062662571
"aadA5-02",0.78382725400193,-0.389337799243832
"aadA-01",0.545887716703973,-0.25275594951877
"aadA-02",0.293785296933668,0.294498237452452
"strB",-0.107708116239098,-0.277391854780433
"blaOXA10-02",0.517944388444634,-0.249145755991861
"blaPSE",0.326962182123228,1.00317460285048
"blaTEM",-1.65401525158539,-0.837491555693772
"cmlA1-01",0.584483315485354,-0.399745040107524
"cmlA1-02",0.445201457363426,0.359032509974823
"floR",-0.0813380981854997,0.396461740692675
"ereA",-0.196755653894557,0.579901340881114
"mphA-01",0.326962182123228,1.00317460285048
"ermF",0.326962182123228,1.00317460285048
"acrA-01",-2.24789657170946,-1.16478689606065
"acrF",-2.24789657170946,-1.16478689606065
"mexF",0.473664913645104,-0.3305496708255
"oprJ",1.06097189363166,-1.23406717693813
"qacEdelta1-01",1.06097189363166,-1.23406717693813
"qacEdelta1-02",0.704479400542962,-0.569613329169386
"qacH-01",-0.655574042126422,0.988385364798301
"qacH-02",0.0777003385031859,1.31658999632253
"dfrA1",0.658916708023994,-0.456298901539334
"sul2",0.901324834557375,-0.923066935344589
"sulA/folP-01",-1.71437879731795,-0.523701972442921
"tetA-02",-0.464444171370405,1.99826847712424
"tetG-01",0.564478567227956,0.00075821042284637
"tetG-02",0.867740817841506,-0.645104075860325
"tet(34)",-0.811873482427584,0.827888552891492
"tet(35)",0.522498584079934,-0.259453385418755
"vanSB",-1.41111111805732,-0.159289864118565
