ARGs types	LP7	HP7	LP15	HP15	LP25	HP25	LP40	HP40
MGEs	1.15E-05	8.01E-05	3.39E-04	3.38E-04	6.55E-05	1.56E-03	3.24E-05	4.77E-05
Total_ARGs	1.81E-03	3.71E-03	8.55E-03	3.87E-03	5.59E-04	5.66E-03	2.36E-03	2.38E-03
Aminoglycosides 	4.71E-04	7.10E-04	5.32E-04	7.14E-04	1.33E-04	4.08E-03	1.19E-03	1.33E-03
Beta_Lactamas	0.00E+00	4.14E-05	0.00E+00	6.11E-06	0.00E+00	7.02E-05	3.29E-04	4.93E-06
FCA	1.07E-04	1.76E-04	4.76E-05	8.75E-05	9.47E-06	3.76E-04	1.33E-05	4.06E-04
MLSB	1.52E-04	2.32E-04	6.38E-05	3.36E-05	0.00E+00	2.21E-04	0.00E+00	5.14E-04
Multidrug 	8.73E-04	2.38E-03	5.71E-03	2.91E-03	4.04E-04	7.21E-04	7.57E-04	7.91E-05
Sulfonamides	1.63E-04	7.82E-05	2.08E-03	1.03E-04	1.22E-05	1.29E-04	4.72E-05	1.94E-05
Tetracyclines	4.80E-05	9.92E-05	1.23E-04	1.90E-05	0.00E+00	6.19E-05	1.41E-05	2.12E-05
Vancomycin	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.55E-06	1.06E-05
