Antibiotics	Mechansims	ARGs subtype	C7	LP7	HP7	C15	LP15	HP15	C25	LP25	HP25	C40	LP40	HP40
Aminoglycosides 	Antibiotic deactivate	aac(6')-Ib(aka aacA4)-01	9.98E-06	8.10E-05	1.44E-04	3.00E-05	3.02E-05	1.90E-05	0.00E+00	0.00E+00	5.80E-04	0.00E+00	0.00E+00	3.83E-04
Aminoglycosides 	Antibiotic deactivate	aac(6')-Ib(aka aacA4)-02	3.30E-05	2.50E-05	1.71E-04	0.00E+00	3.55E-05	7.70E-05	7.17E-05	2.83E-05	1.23E-03	2.74E-05	2.24E-05	3.24E-04
Aminoglycosides 	Antibiotic deactivate	aac(6')-Ib(aka aacA4)-03	3.39E-06	0.00E+00	0.00E+00	0.00E+00	3.71E-05	2.85E-05	1.02E-05	0.00E+00	2.40E-04	0.00E+00	0.00E+00	0.00E+00
Aminoglycosides 	Antibiotic deactivate	aac(6')-II	3.88E-05	3.29E-05	2.16E-05	1.16E-04	4.16E-05	3.42E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.13E-03	3.45E-04
Aminoglycosides 	Antibiotic deactivate	aadA1	9.58E-05	1.23E-04	1.18E-04	1.06E-04	1.02E-04	1.20E-04	1.67E-04	6.76E-05	7.20E-04	1.44E-05	0.00E+00	1.71E-04
Aminoglycosides 	Antibiotic deactivate	aadA2-01	0.00E+00	2.36E-05	2.26E-05	0.00E+00	0.00E+00	7.86E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.49E-05
Aminoglycosides 	Antibiotic deactivate	aadA2-02	0.00E+00	0.00E+00	1.63E-05	0.00E+00	5.39E-05	7.08E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.12E-06	2.07E-05
Aminoglycosides 	Antibiotic deactivate	aadA2-03	5.89E-05	0.00E+00	2.96E-05	0.00E+00	4.84E-05	1.19E-04	1.77E-04	1.05E-05	3.05E-04	0.00E+00	1.99E-05	1.11E-05
Aminoglycosides 	Antibiotic deactivate	aadA5-02	0.00E+00	0.00E+00	9.16E-06	0.00E+00	1.51E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Aminoglycosides 	Antibiotic deactivate	aadA-01	7.17E-05	0.00E+00	1.64E-05	8.22E-05	9.06E-05	6.92E-05	1.33E-04	1.07E-05	4.41E-04	0.00E+00	0.00E+00	0.00E+00
Aminoglycosides 	Antibiotic deactivate	aadA-02	1.44E-04	1.85E-04	1.52E-04	1.01E-04	7.72E-05	1.46E-04	3.30E-04	1.62E-05	5.62E-04	0.00E+00	0.00E+00	4.87E-05
Aminoglycosides 	Antibiotic deactivate	strB	5.26E-06	0.00E+00	8.33E-06	0.00E+00	0.00E+00	2.20E-05	8.74E-06	0.00E+00	6.21E-06	7.05E-06	1.04E-05	0.00E+00
Beta_Lactamas	Antibiotic deactivate	blaOXA10-02	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.11E-06	0.00E+00	0.00E+00	5.30E-06	0.00E+00	0.00E+00	0.00E+00
Beta_Lactamas	Antibiotic deactivate	blaPSE	6.69E-06	0.00E+00	1.36E-05	2.01E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Beta_Lactamas	Antibiotic deactivate	blaTEM	0.00E+00	0.00E+00	2.79E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.49E-05	0.00E+00	3.29E-04	4.93E-06
FCA	Efflux pump	cmlA1-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.99E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
FCA	Efflux pump	cmlA1-02	0.00E+00	0.00E+00	1.39E-05	0.00E+00	0.00E+00	1.18E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
FCA	Efflux pump	floR	3.50E-05	1.07E-04	1.62E-04	5.86E-05	4.76E-05	6.67E-05	2.00E-05	9.47E-06	3.76E-04	2.65E-05	1.33E-05	4.06E-04
MLSB	Antibiotic deactivate	ereA	5.64E-05	1.52E-04	2.12E-04	1.46E-04	6.38E-05	3.36E-05	2.28E-05	0.00E+00	2.21E-04	0.00E+00	0.00E+00	5.14E-04
MLSB	Antibiotic deactivate	mphA-01	0.00E+00	0.00E+00	8.10E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
MLSB	Cellular protection	ermF	0.00E+00	0.00E+00	1.18E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
Multidrug 	Efflux pump	acrA-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.58E-05	0.00E+00
Multidrug 	Efflux pump	acrF	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.94E-06	0.00E+00
Multidrug 	Efflux pump	mexF	6.71E-04	8.26E-04	2.06E-03	7.70E-04	4.65E-03	2.47E-03	8.84E-04	4.04E-04	6.65E-04	3.60E-04	6.85E-04	6.69E-05
