ARGs subtype	C0	C7	LP7	HP7	C15	LP15	HP15	C25	LP25	HP25	C40	LP40	HP40
aac(6')-Ib(aka aacA4)-01	1.35E-03	9.98E-06	8.10E-05	1.44E-04	3.00E-05	3.02E-05	1.90E-05	0.00E+00	0.00E+00	5.80E-04	0.00E+00	0.00E+00	3.83E-04
aac(6')-Ib(aka aacA4)-02	1.39E-03	3.30E-05	2.50E-05	1.71E-04	0.00E+00	3.55E-05	7.70E-05	7.17E-05	2.83E-05	1.23E-03	2.74E-05	2.24E-05	3.24E-04
aac(6')-Ib(aka aacA4)-03	2.90E-04	3.39E-06	0.00E+00	0.00E+00	0.00E+00	3.71E-05	2.85E-05	1.02E-05	0.00E+00	2.40E-04	0.00E+00	0.00E+00	0.00E+00
aac(6')-II	2.44E-04	3.88E-05	3.29E-05	2.16E-05	1.16E-04	4.16E-05	3.42E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.13E-03	3.45E-04
aacC2	1.08E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
aadA1	3.00E-03	9.58E-05	1.23E-04	1.18E-04	1.06E-04	1.02E-04	1.20E-04	1.67E-04	6.76E-05	7.20E-04	1.44E-05	0.00E+00	1.71E-04
aadA2-01	1.86E-04	0.00E+00	2.36E-05	2.26E-05	0.00E+00	0.00E+00	7.86E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.49E-05
aadA2-02	1.51E-04	0.00E+00	0.00E+00	1.63E-05	0.00E+00	5.39E-05	7.08E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.12E-06	2.07E-05
aadA2-03	8.75E-04	5.89E-05	0.00E+00	2.96E-05	0.00E+00	4.84E-05	1.19E-04	1.77E-04	1.05E-05	3.05E-04	0.00E+00	1.99E-05	1.11E-05
aadA5-01	2.09E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
aadA5-02	1.23E-05	0.00E+00	0.00E+00	9.16E-06	0.00E+00	1.51E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
aadA-01	7.03E-04	7.17E-05	0.00E+00	1.64E-05	8.22E-05	9.06E-05	6.92E-05	1.33E-04	1.07E-05	4.41E-04	0.00E+00	0.00E+00	0.00E+00
aadA-02	2.91E-03	1.44E-04	1.85E-04	1.52E-04	1.01E-04	7.72E-05	1.46E-04	3.30E-04	1.62E-05	5.62E-04	0.00E+00	0.00E+00	4.87E-05
