OTU ID	C0	C7	C15	C25	C40	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU1	0	0 	0	0	1	0	0	0	1	0	0	1	1
OTU2	0	2 	2	0	0	2	1	0	1	1	3	1	0
OTU3	2	1 	1	0	0	0	0	0	0	1	0	1	0
OTU4	2	1 	1	2	0	0	2	1	1	1	0	1	0
OTU5	1	1 	0	3	1	1	0	0	3	1	0	2	1
OTU6	3	1 	4	5	7	1	3	8	9	1	3	8	6
OTU7	0	1 	1	0	1	1	1	1	2	0	1	0	2
OTU8	2	2 	1	0	1	3	2	2	1	1	0	0	1
OTU9	3	1 	2	2	1	1	0	0	0	1	0	0	0
OTU10	1	2 	0	0	3	2	1	0	0	2	1	0	0
OTU11	0	1 	0	3	0	2	1	2	0	0	1	0	2
OTU12	0	2 	0	0	0	4	0	0	0	0	0	0	0
OTU13	1	0 	1	0	1	0	1	0	2	0	0	0	0
OTU14	0	1 	0	0	0	1	1	0	2	0	0	1	0
OTU15	0	0 	0	1	0	0	0	1	0	0	0	0	0
OTU16	0	1 	1	0	0	1	0	0	0	1	0	1	0
OTU17	0	1 	0	0	0	2	0	0	0	0	0	0	0
OTU18	0	1 	2	4	2	1	1	3	3	1	1	3	1
OTU19	5	5 	5	4	5	5	10	8	6	5	7	7	5
OTU20	0	0 	0	0	0	0	0	0	0	0	0	0	0
OTU21	1	3 	1	1	2	5	1	1	0	0	0	0	1
OTU22	0	1 	0	0	0	2	0	0	0	0	0	0	0
OTU23	8	20 	10	17	10	29	9	12	20	11	12	13	16
OTU24	3	5 	5	4	3	3	3	0	1	6	2	4	0
OTU25	0	1 	0	2	1	0	0	1	2	1	0	1	1
OTU26	0	1 	2	0	1	1	1	3	0	1	0	0	0
OTU27	1	1 	2	0	0	0	0	0	0	1	0	0	0
OTU28	1	0 	0	1	0	0	0	0	0	0	0	1	0
OTU29	0	1 	1	0	0	0	0	1	0	1	2	1	0
OTU30	13	12 	10	16	11	15	13	13	17	8	23	11	17
OTU31	2	0 	2	0	0	0	0	0	1	0	0	0	0
OTU32	0	0 	0	2	0	0	0	1	0	0	0	0	1
OTU33	5	2 	11	5	8	2	6	4	3	2	6	7	5
