ARGs subtype	LP7	HP7	LP15	HP15	LP25	HP25	LP40	HP40
aac(6')-Ib(aka aacA4)-01	8.10E-05	1.44E-04	3.02E-05	1.90E-05	0.00E+00	5.80E-04	0.00E+00	3.83E-04
aac(6')-Ib(aka aacA4)-02	2.50E-05	1.71E-04	3.55E-05	7.70E-05	2.83E-05	1.23E-03	2.24E-05	3.24E-04
aac(6')-Ib(aka aacA4)-03	0.00E+00	0.00E+00	3.71E-05	2.85E-05	0.00E+00	2.40E-04	0.00E+00	0.00E+00
aac(6')-II	3.29E-05	2.16E-05	4.16E-05	3.42E-05	0.00E+00	0.00E+00	1.13E-03	3.45E-04
aadA1	1.23E-04	1.18E-04	1.02E-04	1.20E-04	6.76E-05	7.20E-04	0.00E+00	1.71E-04
aadA2-01	2.36E-05	2.26E-05	0.00E+00	7.86E-06	0.00E+00	0.00E+00	0.00E+00	2.49E-05
aadA2-02	0.00E+00	1.63E-05	5.39E-05	7.08E-05	0.00E+00	0.00E+00	7.12E-06	2.07E-05
aadA2-03	0.00E+00	2.96E-05	4.84E-05	1.19E-04	1.05E-05	3.05E-04	1.99E-05	1.11E-05
aadA5-02	0.00E+00	9.16E-06	1.51E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
aadA-01	0.00E+00	1.64E-05	9.06E-05	6.92E-05	1.07E-05	4.41E-04	0.00E+00	0.00E+00
aadA-02	1.85E-04	1.52E-04	7.72E-05	1.46E-04	1.62E-05	5.62E-04	0.00E+00	4.87E-05
strB	0.00E+00	8.33E-06	0.00E+00	2.20E-05	0.00E+00	6.21E-06	1.04E-05	0.00E+00
blaOXA10-02	0.00E+00	0.00E+00	0.00E+00	6.11E-06	0.00E+00	5.30E-06	0.00E+00	0.00E+00
blaPSE	0.00E+00	1.36E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
blaTEM	0.00E+00	2.79E-05	0.00E+00	0.00E+00	0.00E+00	6.49E-05	3.29E-04	4.93E-06
cmlA1-01	0.00E+00	0.00E+00	0.00E+00	8.99E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00
cmlA1-02	0.00E+00	1.39E-05	0.00E+00	1.18E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00
floR	1.07E-04	1.62E-04	4.76E-05	6.67E-05	9.47E-06	3.76E-04	1.33E-05	4.06E-04
ereA	1.52E-04	2.12E-04	6.38E-05	3.36E-05	0.00E+00	2.21E-04	0.00E+00	5.14E-04
mphA-01	0.00E+00	8.10E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
ermF	0.00E+00	1.18E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
acrA-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.58E-05	0.00E+00
acrF	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	6.94E-06	0.00E+00
mexF	8.26E-04	2.06E-03	4.65E-03	2.47E-03	4.04E-04	6.65E-04	6.85E-04	6.69E-05
oprJ	0.00E+00	0.00E+00	4.31E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
qacEdelta1-01	0.00E+00	0.00E+00	2.53E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
qacEdelta1-02	0.00E+00	2.69E-04	7.60E-04	4.39E-04	0.00E+00	5.64E-05	3.45E-05	0.00E+00
qacH-01	3.48E-05	1.79E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.40E-05	1.22E-05
qacH-02	1.20E-05	2.61E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
dfrA1	0.00E+00	1.26E-05	9.56E-05	7.06E-05	1.22E-05	1.29E-04	0.00E+00	0.00E+00
sul2	1.63E-04	6.56E-05	1.98E-03	3.20E-05	0.00E+00	0.00E+00	1.45E-05	0.00E+00
sulA/folP-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.27E-05	1.94E-05
tetA-02	2.05E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
tetG-01	0.00E+00	6.09E-05	4.25E-05	1.08E-05	0.00E+00	5.56E-05	0.00E+00	0.00E+00
tetG-02	0.00E+00	2.88E-05	8.06E-05	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
tet(34)	2.75E-05	9.45E-06	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.41E-05	2.12E-05
tet(35)	0.00E+00	0.00E+00	0.00E+00	8.22E-06	0.00E+00	6.27E-06	0.00E+00	0.00E+00
vanSB	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.55E-06	1.06E-05
