XXX	LP7	HP7	LP15	HP15	LP25	HP25	LP40	HP40
JTB255_marine_benthic_group_norank	1032	964	1123	1037	680	1189	1203	1098
Anaerolineaceae_uncultured	578	586	757	771	885	940	1123	996
Bacteria_unclassified	411	536	533	644	740	598	729	797
Desulfobulbus	473	639	653	674	570	623	562	589
Marinicella	463	596	348	297	379	278	306	316
Cyanobacteria_norank	393	374	432	367	340	299	369	253
Bacteroidetes_BD2-2_norank	270	314	298	299	273	348	393	369
BD2-11_terrestrial_group_norank	203	273	357	338	261	353	310	308
SS1-B-09-64_norank	224	201	345	259	341	307	320	241
Deferrisoma	158	173	390	315	283	263	220	280
Draconibacterium	211	229	226	224	305	243	251	266
Latescibacteria_norank	183	220	233	245	260	269	260	273
Sva1033_norank	200	348	237	248	186	257	196	176
Polycyclovorans	35	19	329	85	790	314	24	156
Marinobacter	1096	383	49	27	38	22	21	33
WCHB1-69_norank	178	220	184	201	144	209	228	216
Haliea	184	264	196	166	217	137	162	240
OM190_norank	107	155	192	228	198	203	218	238
Saprospiraceae_uncultured	130	135	155	198	142	376	221	182
Flammeovirgaceae_uncultured	176	202	168	215	125	206	168	169
Ardenticatenia_uncultured	166	219	161	129	160	168	171	172
MSB-3A7_sediment_group_norank	136	160	164	178	169	142	196	178
Gillisia	105	201	160	165	113	177	146	161
Nitrospira	80	127	155	165	191	169	170	138
Spirochaeta_2	86	129	139	180	151	162	172	176
Reichenbachiella	160	126	146	126	166	157	156	155
MSBL9_norank	77	77	147	156	178	148	184	181
Acidobacteria_norank	109	123	144	163	147	153	140	139
Bacteroidetes_unclassified	124	149	134	179	134	126	115	123
Methylophaga	398	258	52	63	124	32	56	49
R76-B128_norank	119	137	151	154	73	138	136	103
Celeribacter	180	43	30	20	170	249	139	132
Perlucidibaca	507	106	98	209	2	0	0	1
Rhodothermaceae_uncultured	98	144	95	112	118	115	99	114
Propionigenium	70	122	107	118	52	122	147	116
Cycloclasticus	0	0	65	55	156	170	150	254
BD7-8_marine_group_norank	49	49	119	147	118	109	117	124
Pla4_lineage_norank	42	57	98	126	147	101	119	111
Rhodobacteraceae_unclassified	102	99	90	77	189	103	59	70
Alcanivorax	397	245	39	14	20	5	47	17
Lutibacter	73	73	118	100	77	98	131	110
Desulfobacteraceae_uncultured	82	96	102	106	106	90	102	89
Sva0485_norank	57	63	102	95	107	91	119	108
Desulfobacula	61	71	96	115	93	113	94	92
OPB56_norank	54	44	107	103	106	85	95	120
Caldithrix	56	72	74	74	113	103	117	101
TA06_norank	56	56	85	93	89	85	117	121
Donghicola	460	166	11	12	16	10	10	4
Hydrogenedentes_norank	70	83	89	78	98	91	70	84
Bacteroidetes_VC2.1_Bac22_norank	78	124	84	72	77	80	67	69
Marinobacterium	212	162	46	42	59	30	42	45
Oligosphaerales_norank	58	49	90	90	111	79	95	66
Candidate_division_OP3_norank	42	44	86	120	61	83	87	62
Gammaproteobacteria_unclassified	73	69	103	72	85	44	66	71
Pelagibius	75	94	74	49	57	71	75	84
KI89A_clade_norank	49	83	73	76	61	60	73	103
Desulfobulbaceae_uncultured	37	58	85	71	74	84	68	90
Planctomycetes_unclassified	50	66	70	74	73	70	86	71
Limnobacter	140	55	137	128	51	11	13	7
Neptunomonas	82	98	87	106	45	44	30	42
Owenweeksia	77	76	53	67	66	70	56	54
PAUC43f_marine_benthic_group_norank	56	108	59	47	57	75	61	54
Nitrospina	34	40	83	85	68	67	86	52
Halioglobus	48	68	73	66	60	42	44	77
Marinilabiaceae_uncultured	41	79	31	54	46	56	65	101
Oceanospirillaceae_unclassified	47	67	86	67	61	44	37	58
Aquibacter	59	54	87	53	63	46	58	46
Sedimenticola	58	72	68	63	57	55	47	46
Sh765B-TzT-29_norank	48	44	59	65	43	68	47	64
Draconibacteriaceae_unclassified	43	48	46	53	74	57	63	43
Rhodospirillaceae_uncultured	29	37	56	59	76	55	55	57
Sva0081_sediment_group	14	36	41	48	80	83	60	62
Pla3_lineage_norank	37	52	44	64	52	61	56	57
SHA-109_norank	52	29	63	59	21	51	78	56
Deltaproteobacteria_unclassified	43	39	57	58	70	42	42	54
Flavobacteriaceae_unclassified	29	47	53	61	43	39	69	62
Desulfobulbaceae_unclassified	45	65	57	65	36	42	33	43
Marinimicrobia_SAR406_clade_norank	24	21	51	51	45	59	59	75
Xanthomonadales_uncultured	52	41	52	53	33	41	51	50
Halieaceae_unclassified	52	54	37	39	52	29	52	45
Hoppeia	31	44	49	41	36	46	64	48
Carboxylicivirga	36	50	51	36	29	63	52	40
Vibrio	54	51	52	35	49	37	35	44
Planctomyces	55	42	28	34	42	52	51	49
Subgroup_21_norank	49	47	48	43	41	40	51	33
Gracilibacteria_norank	241	51	12	6	5	9	14	13
Desulfobacteraceae_unclassified	37	57	47	59	33	41	24	51
Proteobacteria_unclassified	58	46	41	40	69	35	31	28
Thermomarinilinea	18	21	64	40	40	59	45	54
BD7-11_norank	16	23	46	42	49	48	75	41
Subgroup_23_norank	58	73	46	51	28	35	18	23
Bacteroidia_unclassified	51	43	30	32	49	46	46	29
BSV26_norank	22	31	54	48	48	37	36	48
Marinifilum	27	35	30	50	35	46	41	51
Salinisphaera	2	4	1	28	93	34	0	151
Marinoscillum	43	40	50	56	31	23	30	34
Phycisphaeraceae_uncultured	24	33	38	42	46	47	39	32
Rhodobacteraceae_uncultured	23	28	44	35	47	45	34	41
vadinHA49_norank	22	21	42	55	38	34	45	40
Oligosphaeria_norank	38	28	42	51	38	36	27	31
Desulfobacteraceae_norank	30	19	50	46	25	45	37	33
Spongiibacter	108	68	8	8	70	5	2	16
Nitrospinaceae_uncultured	23	60	25	43	28	43	23	28
Oceanospirillales_unclassified	23	56	36	23	32	22	35	40
Parcubacteria_norank	6	8	36	22	34	62	61	35
Piscirickettsiaceae_uncultured	113	43	16	15	22	15	23	17
Salinimicrobium	22	27	39	36	33	30	38	36
Hydrogenophilaceae_uncultured	27	34	41	26	25	34	33	40
OM1_clade_norank	40	60	23	21	21	32	25	33
Robiginitalea	30	51	34	18	22	40	36	22
MSBL3_norank	22	12	37	43	38	29	38	31
Pseudospirillum	23	20	42	37	38	24	29	34
Puniceicoccaceae_uncultured	36	20	41	29	23	32	33	28
OM60_NOR5_clade	21	25	34	43	29	17	38	34
Tangfeifania	18	35	32	26	34	28	33	32
OM182_clade_norank	18	27	41	33	29	24	27	33
P3OB-42_norank	17	41	39	35	29	22	17	31
Portibacter	18	17	12	32	41	32	42	35
GR-WP33-58_norank	26	47	26	25	21	32	27	21
Planctomycetaceae_unclassified	16	26	21	30	34	34	31	32
Gaetbulibacter	22	36	26	27	17	28	31	35
MidBa8_norank	16	19	32	34	38	25	26	30
Subgroup_7_norank	19	57	15	19	31	33	21	25
Lutimonas	29	19	28	21	28	20	48	25
Desulfuromonadales_unclassified	24	32	31	38	22	26	16	28
Neptuniibacter	37	42	29	19	31	16	18	23
UASB-TL25_norank	29	18	30	23	23	35	30	27
Hwangdonia	16	29	29	25	21	29	34	28
IheB3-7_norank	12	17	27	28	36	22	27	41
OM27_clade	25	25	32	23	23	30	27	23
OCS116_clade_norank	13	20	26	22	33	22	36	32
C1-B045	5	4	22	27	69	13	39	18
Lewinella	24	25	25	14	51	33	8	17
Desulfuromusa	16	34	23	46	20	19	14	24
Shewanella	31	37	32	33	17	9	17	18
TM6_norank	12	13	32	27	21	16	32	41
Ulvibacter	11	25	22	35	18	25	29	29
Thiotrichaceae_uncultured	20	32	24	38	16	13	24	24
Alteromonas	89	84	1	6	5	1	2	2
Ignavibacterium	11	22	17	29	28	23	26	34
Geobacteraceae_norank	30	18	19	44	16	24	18	20
endosymbionts	31	20	33	18	33	26	14	12
VHS-B4-70_norank	15	24	29	23	22	24	21	24
Urania-1B-19_marine_sediment_group	16	14	22	26	22	25	39	15
Sva0725_norank	34	45	27	10	14	17	13	18
SM1A02	13	21	13	21	27	29	22	29
Fusibacter	27	24	24	29	10	24	12	24
Nitrosomonas	15	12	15	24	14	34	27	32
TK34_norank	16	25	10	20	28	28	21	23
PAUC34f_norank	10	16	20	33	10	38	23	20
SBYZ-984_norank	18	23	17	25	26	16	33	12
Chitinophagaceae_uncultured	13	21	20	27	14	29	23	21
BD2-7_norank	13	13	13	17	26	28	19	38
Rhodopirellula	20	20	15	23	18	21	21	29
NPL-UPA2_norank	13	13	27	31	17	19	28	18
NB1-n_norank	17	17	29	37	11	21	19	14
Cryomorphaceae_unclassified	28	23	26	9	25	24	14	15
Haliangium	13	23	28	19	24	22	13	20
Anaerolineaceae_unclassified	12	14	16	25	9	29	31	24
Tenacibaculum	25	24	14	20	13	17	23	13
Flammeovirgaceae_unclassified	17	14	25	34	16	18	12	12
Mitochondria_norank	19	18	13	19	11	21	20	26
Gramella	9	14	20	23	12	22	28	18
Desulfosarcina	13	12	24	23	16	14	20	23
Algoriphagus	17	13	12	25	17	20	20	19
PAUC26f_norank	8	16	13	18	30	20	24	13
Saprospiraceae_unclassified	16	28	9	22	28	14	11	10
Actibacter	14	11	18	19	11	12	37	12
Phycisphaerales_unclassified	6	5	27	26	9	17	28	16
Flavobacteriales_unclassified	18	14	13	4	57	10	11	6
SC3-20_norank	11	17	26	13	12	15	18	19
Bacteriovoracaceae_unclassified	20	18	18	19	13	14	12	14
Methylophilaceae_unclassified	15	16	20	11	15	19	18	13
Ignavibacteriales_unclassified	10	16	17	17	14	15	22	14
CCM11a_norank	9	8	15	13	27	14	21	17
ODP1230B30.02_sediment_group_norank	11	10	19	17	19	10	20	14
Rhodospirillaceae_unclassified	11	9	16	8	15	24	25	12
ss1-B-07-44_norank	12	9	13	30	14	15	14	8
Desulfobacter	14	19	14	24	11	13	8	11
SAR324_clade_Marine_group_B_norank	6	12	14	25	15	15	12	15
Geobacteraceae_unclassified	10	15	18	16	14	20	5	15
MSBL7	5	19	15	17	12	19	14	11
Nitrosococcus	6	12	9	9	23	22	15	16
Pelagicoccus	16	11	21	10	15	14	11	14
Chloroflexi_unclassified	16	13	7	14	18	18	15	10
Gemmatimonadetes_unclassified	9	13	11	11	13	25	10	17
Marivita	9	6	12	11	33	4	12	20
C8S-102_norank	8	14	9	14	17	18	6	20
Christensenellaceae_uncultured	7	10	16	19	10	13	19	12
GR-WP33-30_norank	14	12	9	14	14	15	15	12
Desulfatiglans	9	15	15	12	11	12	14	14
PS-B29_norank	7	11	11	10	15	17	15	16
Thioalkalispira	9	13	16	11	20	9	16	8
Desulforhopalus	14	23	10	9	11	9	12	12
Sandaracinaceae_uncultured	14	19	15	9	7	5	15	15
Arcobacter	21	49	7	9	2	4	3	2
Aminicenantes_norank	12	26	6	12	5	8	13	14
Candidatus_Latescibacter	5	7	14	20	5	17	15	12
Prolixibacter	15	25	10	16	10	8	5	5
Solimonadaceae_unclassified	2	1	37	15	29	8	1	0
Pir4_lineage	9	11	9	13	9	12	17	12
Desulfococcus	9	7	13	10	10	13	18	11
BD1-7_clade	8	7	14	10	18	11	13	7
MBAE14_norank	7	3	16	7	10	12	15	17
DB1-14_norank	6	7	15	6	15	13	11	12
Myxococcales_unclassified	8	14	8	14	9	11	9	12
BIrii41_norank	6	15	11	13	12	10	8	9
SHA-43_norank	12	7	11	9	12	14	10	9
Phaeodactylibacter	9	5	9	9	9	22	8	12
Phycisphaerae_unclassified	8	5	11	10	11	13	15	10
Truepera	13	5	5	5	7	12	22	14
Fluviicola	56	16	6	1	1	1	0	1
Nannocystaceae_uncultured	5	15	17	4	9	15	8	9
Blfdi19_norank	4	7	18	13	2	16	10	11
Aestuariibacter	49	9	4	2	12	2	2	0
Family_XIII_uncultured	6	8	7	19	4	11	15	10
Sphingobacteriales_unclassified	10	6	14	11	11	10	11	6
Rhizobiales_uncultured	13	13	4	6	7	10	10	15
Subgroup_10_unclassified	13	10	11	9	12	7	8	7
Sandaracinaceae_unclassified	9	8	14	9	9	11	6	10
