OTU ID	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU1	0	0	0	1	0	0	1	1
OTU2	2	1	0	1	1	3	1	0
OTU3	0	0	0	0	1	0	1	0
OTU4	0	2	1	1	1	0	1	0
OTU5	1	0	0	3	1	0	2	1
OTU6	1	3	8	9	1	3	8	6
OTU7	1	1	1	2	0	1	0	2
OTU8	3	2	2	1	1	0	0	1
OTU9	1	0	0	0	1	0	0	0
OTU10	2	1	0	0	2	1	0	0
OTU11	2	1	2	0	0	1	0	2
OTU12	4	0	0	0	0	0	0	0
OTU13	0	1	0	2	0	0	0	0
OTU14	1	1	0	2	0	0	1	0
OTU15	0	0	1	0	0	0	0	0
OTU16	1	0	0	0	1	0	1	0
OTU17	2	0	0	0	0	0	0	0
OTU18	1	1	3	3	1	1	3	1
OTU19	5	10	8	6	5	7	7	5
OTU20	0	0	0	0	0	0	0	0
OTU21	5	1	1	0	0	0	0	1
OTU22	2	0	0	0	0	0	0	0
OTU23	29	9	12	20	11	12	13	16
OTU24	3	3	0	1	6	2	4	0
OTU25	0	0	1	2	1	0	1	1
OTU26	1	1	3	0	1	0	0	0
OTU27	0	0	0	0	1	0	0	0
OTU28	0	0	0	0	0	0	1	0
OTU29	0	0	1	0	1	2	1	0
OTU30	15	13	13	17	8	23	11	17
OTU31	0	0	0	1	0	0	0	0
OTU32	0	0	1	0	0	0	0	1
OTU33	2	6	4	3	2	6	7	5
OTU34	7	9	6	2	4	5	1	8
OTU35	3	4	4	3	2	3	2	0
OTU36	4	4	4	3	2	3	1	1
OTU37	11	3	7	5	7	4	10	9
OTU38	9	1	0	1	2	2	7	0
OTU39	1	0	0	0	2	2	0	0
OTU40	2	0	0	1	2	3	2	1
OTU41	3	1	2	10	2	10	3	8
OTU42	1	0	1	4	1	0	0	4
OTU43	18	19	19	14	24	14	10	25
OTU44	0	0	0	3	1	1	3	1
OTU45	3	0	2	3	6	2	1	1
OTU46	32	7	1	1	8	2	0	1
OTU47	0	1	1	2	0	2	3	1
OTU48	1	2	1	3	1	8	3	2
OTU49	0	0	1	0	1	0	0	1
OTU50	8	3	0	2	5	2	1	0
OTU51	0	1	5	2	1	6	5	0
OTU52	0	0	0	0	0	0	0	0
OTU53	8	1	6	1	5	8	4	4
OTU54	0	1	0	0	0	0	0	2
OTU55	1	0	0	1	0	0	0	0
OTU56	1	1	0	0	1	2	0	1
OTU57	1	0	0	0	0	0	0	0
OTU58	3	1	4	1	0	2	0	0
OTU59	1	0	0	0	0	0	1	1
OTU60	4	1	3	4	3	1	0	2
OTU61	0	1	1	0	1	1	0	0
OTU62	1	2	3	5	1	4	3	4
OTU63	6	2	0	0	11	1	0	0
OTU64	3	9	18	14	5	1	7	13
OTU65	0	0	2	0	0	0	0	0
OTU66	0	1	2	0	1	0	6	2
OTU67	4	8	6	4	5	4	7	4
OTU68	77	36	21	8	81	53	40	28
OTU69	1	1	1	1	1	2	0	1
OTU70	0	1	1	1	0	0	1	1
OTU71	0	0	0	2	0	0	1	0
OTU72	0	0	1	0	1	0	1	0
OTU73	37	40	21	29	29	45	33	18
OTU74	7	13	15	16	6	6	4	8
OTU75	2	1	0	1	0	0	0	1
OTU76	2	5	10	2	5	1	3	3
OTU77	1	0	0	0	0	0	2	0
OTU78	2	1	2	2	3	2	1	3
OTU79	0	1	0	0	1	1	0	1
OTU80	0	1	2	1	0	0	0	1
OTU81	10	6	6	3	5	1	5	0
OTU82	0	3	0	1	2	0	0	1
OTU83	2	0	1	0	2	1	0	0
OTU84	0	0	0	0	0	0	0	0
OTU85	2	1	0	1	3	0	0	1
OTU86	3	3	3	3	1	1	1	2
OTU87	0	0	0	0	0	0	0	0
OTU88	0	0	0	0	0	0	0	3
OTU89	0	0	1	1	0	1	0	0
OTU90	0	3	2	1	1	0	0	0
OTU91	0	0	0	0	1	0	0	0
OTU92	1	0	1	0	0	1	1	0
OTU93	4	3	5	1	1	2	5	3
OTU94	6	18	13	16	5	31	12	16
OTU95	1	2	0	0	1	0	0	1
