Taxon	C0	C7	C15	C25	C40	LP7	LP15	LP25	LP40	HP7	HP15	HP25	HP40
Proteobacteria	49.7752672	52.1805151	46.1795432	47.3092809	46.659378	55.5272109	46.4346453	45.9669582	38.7208455	48.8338192	43.1608358	42.2376093	42.6202624
Bacteroidetes	19.1448008	17.1313168	15.6827017	15.7191448	14.3768222	15.8102527	16.9460641	16.6059281	19.1022838	18.452381	17.9421769	19.5153061	17.9057337
Chloroflexi	5.1141885	5.2052964	6.3228863	6.4990282	6.0191934	4.9866375	6.3471817	7.02138	8.7099125	5.4239553	6.1892614	7.6712828	7.9506803
Planctomycetes	5.2417396	4.965379	7.1246356	6.9181244	8.7463557	4.5310982	6.6933916	7.7380952	8.3637026	5.3996599	7.6469874	7.0092323	7.6348397
Bacteria_unclassified	2.8729349	2.8759718	3.51069	3.6443149	4.3853256	2.4963557	3.2373664	4.494655	4.4278426	3.2555879	3.9115646	3.6321672	4.8408649
Gemmatimonadetes	1.7431973	2.0438533	2.5085034	2.5996113	2.6482021	1.6581633	2.6178328	2.052964	2.3566569	2.4295432	2.4538387	2.7879009	2.3445092
Cyanobacteria	2.9883382	2.4234694	2.4659864	2.1562196	2.0043732	2.4599125	2.6785714	2.1076288	2.2837707	2.3870262	2.3019922	1.8586006	1.5549077
Acidobacteria	1.9982993	2.2503644	2.1987366	1.9861516	1.7917881	1.9557823	2.0651118	2.0225948	1.9436346	2.5449466	2.1865889	2.0711856	1.8160836
Lentisphaerae	1.8100097	1.5488338	2.3505831	1.8768222	1.7735666	1.5306122	2.010447	1.627794	1.8646744	1.5670554	2.1197765	1.797862	1.4334305
Latescibacteria	1.4395044	1.2603256	1.5245384	1.500243	1.2876579	1.1418853	1.500243	1.6095724	1.670311	1.3787658	1.6095724	1.7371234	1.7310496
Chlorobi	0.8260447	0.728863	1.2755102	1.2512148	1.3605442	0.6620505	1.3544704	1.4273567	1.2694363	0.7956754	1.3726919	1.111516	1.5731293
Others	7.0456754	7.3858115	8.8556851	8.5398445	8.946793	7.2400389	8.1146744	7.3250729	9.2869291	7.5315841	9.1047133	8.5702138	8.5945092
